variable name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2000sf1,2000sf3
male_nhopi_somecoll,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,,
male_nhopi_somecoll_a,,,,,,,,,,,,,P148E006
male_nhopi_somecoll_b,,,,,,,,,,,,,P148E007
male_nhopi_collplus,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,,
male_nhopi_collplus_a,,,,,,,,,,,,,P148E008
male_nhopi_collplus_b,,,,,,,,,,,,,P148E009
female_nhopi_lths,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,,
female_nhopi_lths_a,,,,,,,,,,,,,P148E011
female_nhopi_lths_b,,,,,,,,,,,,,P148E012
female_nhopi_hs,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,,P148E013
female_nhopi_somecoll,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,,
female_nhopi_somecoll_a,,,,,,,,,,,,,P148E014
female_nhopi_somecoll_b,,,,,,,,,,,,,P148E015
female_nhopi_collplus,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,,
female_nhopi_collplus_a,,,,,,,,,,,,,P148E016
female_nhopi_collplus_b,,,,,,,,,,,,,P148E017
male_other_lths,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,,
male_other_lths_a,,,,,,,,,,,,,P148F003
male_other_lths_b,,,,,,,,,,,,,P148F004
male_other_hs,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,,P148F005
male_other_somecoll,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,,
male_other_somecoll_a,,,,,,,,,,,,,P148F006
male_other_somecoll_b,,,,,,,,,,,,,P148F007
